Input,Output
"Sword, earth element, common",Uncommon Fury
"Sword, toxic element, rare",Sanguine-Warden of Blessed
"Bow, blood element, common",RootGlaive
"Scythe, ice element, common",Rare Whisper
"Shield, void element, mythic",The Fury of Storm
"Orb, storm element, mythic",HaloLance
"Gauntlet, holy element, legendary",DuskEdge
"Whip, void element, legendary",SanguineWhisper
"Hammer, fire element, uncommon",Ember of the Scythe of Snow
"Spear, holy element, mythic",The Shard
"Crossbow, storm element, uncommon",Uncommon Edge
"Staff, shadow element, legendary",The Cutter of Squall
"Dagger, wind element, common",The Wand of Bolt
"Dagger, holy element, rare",Mire-Warden
"Orb, ice element, uncommon",Common Reaver of Grace
"Mace, shadow element, rare",ToxicBlade
"Crossbow, light element, rare",The Cutter
"Scythe, shadow element, legendary",Uncommon Lance of Mana
"Orb, arcane element, common",Ancient Edge of Fang
"Mace, water element, common",Glacier of the Shard of Boulder
"Orb, wind element, rare",NightWhisper
"Gauntlet, poison element, common",The Fury of Null
"Scythe, light element, uncommon",Void of the Scythe of Dusk
"Gauntlet, ice element, mythic",Uncommon Reaver
"Crossbow, water element, uncommon",TerraAegis
"Wand, shadow element, common",Fang of the Fury of Storm
"Sword, poison element, ancient",DivineGlaive
"Sword, lightning element, uncommon",SunAegis
"Whip, arcane element",Plague-Fang
"Crossbow, arcane element, common",Plague of the Reaver
"Sword, lightning element, epic",HaloBreaker
"Axe, fire element, common",Epic Maul of Toxic
"Whip, arcane element",Common Staff of Rune
"Wand, blood element",WaveReaver
"Gauntlet, lightning element, mythic",Dark-Breaker
"Shield, light element, legendary",Arcana of the Scythe
"Axe, arcane element, mythic",DuskCutter of Toxic
"Bow, toxic element, legendary",SparkWarden
"Sword, holy element, mythic",Pulse-Whisper of Aurora
"Dagger, water element, mythic",Crimson-Fury
"Whip, light element, uncommon",Mana of the Warden of Spell
"Dagger, void element, uncommon",SacredMaul
"Orb, ice element",Glacier of the Hammer
"Hammer, toxic element, ancient",IceReaver of Rune
"Mace, poison element, epic",Rune of the Blade of Ember
"Gauntlet, wind element, epic",BreezeScythe of Aurora
"Orb, storm element, legendary",Zephyr-Lance of Divine
"Bow, void element, mythic",Mystic of the Whisper
"Bow, shadow element, mythic",Dark-Spire
"Spear, arcane element, ancient",Blessed-Maul
"Axe, wind element, common",Corrupt-Spire
"Spear, water element, legendary",Mythic Slicer
"Mace, ice element, uncommon",DivineGlaive
"Mace, light element, legendary",Flood of the Slicer of Radiant
"Scythe, holy element, uncommon",Mire of the Cutter of Blaze
"Orb, void element",Thunder-Claw of Blood
"Mace, shadow element, legendary",ThunderFury of Blessed
"Bow, void element, epic",Ancient Reaver
"Spear, storm element, epic",Chill of the Spire of Glacier
"Orb, holy element, common",Arcana of the Whisper
"Mace, earth element",Common Wand of Umbral
"Mace, shadow element, legendary",FlameMaul
"Scythe, wind element",StormScythe of Storm
"Spear, shadow element, epic",Halo of the Breaker
"Spear, water element, legendary",Uncommon Whisper of Void
"Shield, void element, epic",Blessed-Reaver of Rune
"Spear, water element, legendary",Gloom-Spire of Inferno
"Scythe, ice element, common",Volt of the Lance
"Scythe, poison element, common",Sun-Talon
"Wand, holy element, uncommon",Uncommon Warden of Blessed
"Mace, toxic element, rare",BlackholeWand
"Mace, fire element, uncommon",Deep-Wand
"Scythe, wind element, legendary",Tide-Hammer of Blessed
"Wand, poison element, rare",Ancient Blade of Abyss
"Crossbow, storm element, epic",Null of the Scythe of Pyro
"Shield, poison element, legendary",The Shard
"Wand, poison element, uncommon",Boulder-Kris of Terra
"Orb, water element, rare",The Maul
"Staff, earth element, legendary",Abyss-Blade of Abyss
"Gauntlet, wind element, epic",SacredFury
"Sword, blood element, rare",Uncommon Scythe of Snow
"Wand, fire element",Pulse-Spire
"Sword, ice element, ancient",Mire-Edge
"Orb, shadow element, ancient",The Whisper of Whirl
"Whip, void element, common",SacredAegis of Grace
"Staff, shadow element, rare",Common Slicer
"Wand, void element",Abyss of the Scythe
"Bow, void element, mythic",Luminous of the Fury of Storm
"Dagger, toxic element, legendary",ChillScythe
"Spear, storm element, epic",ShockScythe of Hemorrhage
"Sword, blood element, rare",Terra-Spire of Pyro
"Staff, toxic element, rare",Rare Staff
"Orb, lightning element, mythic",Abyss-Maul
"Shield, storm element, uncommon",The Wand of Blessed
"Hammer, ice element",Sun-Shard of Night
"Mace, holy element, rare",Arcana-Reaver
"Wand, shadow element, mythic",Spell-Breaker of Mana
"Orb, toxic element, epic",Epic Whisper
"Crossbow, ice element, rare",IceTalon
"Scythe, toxic element, ancient",Glacier of the Spire
"Hammer, blood element, mythic",Plague of the Staff
"Spear, water element, uncommon",SunCutter of Thunder
"Whip, fire element, mythic",The Reaver of Sanguine
"Axe, storm element, legendary",The Edge of Mana
"Dagger, arcane element, epic",Storm-Lance
"Orb, earth element, ancient",The Edge of Faith
"Spear, light element, common",UmbralMaul
"Gauntlet, holy element, rare",Mystic-Aegis
"Dagger, holy element, uncommon",Mana of the Wand
"Bow, shadow element, mythic",Volt of the Hammer of Flood
"Wand, holy element, mythic",Abyss of the Shard of Shade
"Bow, ice element, common",Volt of the Whisper of Aurora
"Spear, poison element, rare",The Breaker of Glacier
"Spear, earth element",The Maul
"Wand, shadow element, rare",Cloud of the Breaker
"Bow, wind element, common",Zephyr of the Talon
"Staff, ice element, common",Blight-Scythe of Sanguine
"Scythe, shadow element, legendary",Breeze of the Talon
"Scythe, lightning element, rare",Ember of the Breaker of Boulder
"Crossbow, ice element, common",Abyss of the Scythe of Aurora
"Sword, poison element, rare",ZephyrAegis of Grace
"Scythe, lightning element, ancient",Whirl-Blade
"Orb, blood element, epic",RadiantEdge of Boulder
"Crossbow, wind element, rare",Deep-Maul of Snow
"Bow, ice element, rare",Blackhole of the Shard of Rain
"Sword, void element, ancient",Ancient Slicer
"Wand, water element, epic",Grace-Hammer of Decay
"Spear, void element, legendary",Void of the Fury
"Wand, ice element, rare",LuminousWand
"Shield, void element, epic",Uncommon Staff
"Orb, toxic element, ancient",SunWhisper
"Mace, water element, common",Arcana of the Scythe
"Sword, poison element, ancient",Null-Cutter of Deep
"Spear, water element, uncommon",Abyss-Staff of Stone
"Spear, water element, uncommon",The Fang of Squall
"Axe, shadow element, epic",Mire-Spire
"Spear, blood element, rare",Corrupt-Maul
"Crossbow, lightning element, ancient",Inferno of the Shard
"Crossbow, water element, uncommon",Night-Blade
"Shield, void element, legendary",BlazeAegis of Terra
"Whip, light element, common",Blaze-Lance
"Bow, toxic element, mythic",RadiantWarden
"Staff, storm element, legendary",Common Staff of Shade
"Bow, arcane element, rare",Epic Lance of Mana
"Scythe, ice element, common",Snow of the Shard of Decay
"Staff, lightning element, mythic",Grace-Shard
"Orb, void element, common",The Wand of Blessed
"Axe, holy element, legendary",Rare Staff
"Axe, storm element",Epic Fury
"Wand, ice element, ancient",Gloom of the Reaver of Gloom
"Staff, holy element, common",Volt of the Lance of Aqua
"Hammer, ice element",Dusk-Shard of Breeze
"Shield, arcane element, mythic",Epic Cutter
"Staff, wind element, ancient",DivineShard
"Whip, wind element, rare",Mana of the Staff of Mystic
"Mace, arcane element, legendary",SanguineReaver of Whirl
"Scythe, water element, legendary",Root-Reaver
"Shield, light element, legendary",Quake of the Slicer
"Dagger, wind element, uncommon",WaveCutter of Deep
"Orb, toxic element, rare",SacredScythe
"Mace, holy element, common",Legendary Whisper
"Bow, fire element, epic",Null of the Fang
"Scythe, toxic element",Hemorrhage-Fury
"Orb, storm element, legendary",Pulse-Wand
"Whip, light element, ancient",Gloom of the Whisper of Null
"Hammer, holy element, epic",The Blade of Ember
"Dagger, holy element, rare",Uncommon Lance
"Dagger, water element, mythic",StoneTalon
"Mace, lightning element, common",RadiantShard of Boulder
"Axe, fire element, uncommon",Mythic Spire of Pyro
"Crossbow, blood element, mythic",Shade-Fury
"Sword, void element, ancient",Luminous-Blade of Abyss
"Staff, water element, rare",FaithBreaker
"Hammer, light element, uncommon",WhirlBreaker of Toxic
"Axe, shadow element, legendary",DarkStaff
"Shield, void element, mythic",FaithTalon
"Whip, water element, rare",Fang of the Kris of Pyro
"Hammer, fire element, legendary",Mire-Slicer of Deep
"Shield, toxic element, mythic",IceReaver of Rune
"Shield, storm element, common",The Edge of Aqua
"Gauntlet, fire element, ancient",Storm of the Cutter
"Whip, ice element",Stone-Whisper of Void
"Spear, storm element, common",Blaze-Staff
"Bow, wind element, uncommon",AquaClaw
"Spear, holy element, ancient",BoltKris of Ember
"Staff, storm element, legendary",UmbralKris
"Mace, shadow element, common",Storm-Kris of Deep
"Crossbow, ice element, legendary",Chill of the Kris
"Scythe, shadow element, rare",Mire-Wand
"Wand, water element, epic",Ancient Maul
"Crossbow, storm element, uncommon",The Reaver of Whirl
"Scythe, void element, common",Sanguine of the Cutter of Volt
"Crossbow, holy element, common",AquaKris of Rune
"Spear, toxic element, mythic",SunBlade
"Sword, ice element, ancient",The Breaker of Tide
"Spear, holy element, common",Epic Fang
"Spear, shadow element, mythic",FaithHammer
"Crossbow, ice element, legendary",Deep-Slicer
"Dagger, lightning element, ancient",Glacier of the Warden
"Hammer, toxic element",Ancient Shard of Breeze
"Bow, water element, legendary",The Glaive
"Spear, void element, legendary",DecayKris
"Spear, blood element, common",SunReaver
"Spear, poison element, legendary",Deep-Cutter of Toxic
"Bow, blood element, common",Mire of the Talon of Flame
"Axe, blood element, rare",Tide of the Fury
"Spear, shadow element, epic",Plague of the Staff of Rune
"Orb, toxic element, epic",The Slicer
"Gauntlet, ice element, legendary",Mythic Kris of Frost
"Scythe, shadow element, legendary",Snow-Fury of Blessed
"Orb, blood element, mythic",Root-Whisper of Whirl
"Orb, shadow element, epic",Deep-Spire
"Scythe, arcane element, legendary",The Warden
"Staff, holy element, rare",Sacred-Aegis
"Sword, void element, ancient",Faith of the Scythe of Halo
"Wand, arcane element, ancient",AquaWarden
"Sword, ice element, legendary",WaveKris of Rune
"Shield, ice element, legendary",Storm-Cutter of Spark
"Dagger, poison element, rare",Inferno of the Claw of Blight
"Bow, water element, ancient",HaloMaul of Toxic
"Sword, ice element, common",Plague of the Reaver
"Whip, storm element, ancient",Plague of the Wand of Blessed
"Shield, water element, legendary",Breeze of the Breaker of Glacier
"Crossbow, ice element, rare",SparkLance
"Sword, holy element, legendary",Mythic Fang
"Orb, poison element, ancient",Whirl of the Lance
"Shield, fire element, legendary",AcidLance
"Sword, storm element, legendary",Night of the Scythe of Halo
"Bow, blood element, ancient",Mythic Claw
"Hammer, arcane element, rare",Night of the Staff
"Axe, blood element, rare",Ancient Spire
"Sword, wind element, uncommon",Blessed-Talon
"Shield, shadow element, epic",Chill-Aegis of Terra
"Spear, void element, legendary",Gloom-Reaver of Whirl
"Crossbow, wind element, common",ZephyrGlaive
"Orb, lightning element, common",Gloom-Cutter of Sanguine
"Orb, void element, ancient",Glacier-Breaker
"Orb, poison element, legendary",Rain-Breaker of Snow
"Bow, blood element, common",Crimson of the Lance of Divine
"Dagger, water element, epic",Dark-Aegis
"Whip, toxic element, legendary",Mythic Shard
"Orb, blood element, mythic",Night of the Claw
"Gauntlet, wind element, epic",The Maul
"Wand, earth element, common",Mythic Scythe of Aurora
"Dagger, poison element, rare",MysticBreaker
"Gauntlet, lightning element, epic",Plague-Edge
"Sword, holy element, legendary",Quake of the Staff
"Sword, toxic element, uncommon",Frost of the Cutter of Rain
"Shield, fire element, mythic",Luminous of the Talon
"Spear, toxic element, rare",Toxic-Edge
"Axe, ice element, epic",Uncommon Blade
"Scythe, blood element, mythic",Ice-Maul
"Mace, shadow element, common",Storm-Scythe
"Sword, water element, mythic",Pyro-Breaker
"Sword, blood element",Uncommon Cutter of Deep
"Axe, toxic element, legendary",RadiantHammer
"Dagger, storm element, rare",ShockBreaker
"Mace, shadow element, legendary",StormFang of Night
"Crossbow, lightning element, ancient",Inferno-Reaver
"Spear, wind element, epic",ZephyrWand
"Staff, void element, common",The Fury
"Orb, light element, rare",Fang-Spire of Pyro
"Whip, holy element, uncommon",The Cutter
"Axe, light element, mythic",Deep-Edge
"Bow, lightning element, epic",Sacred of the Slicer
"Scythe, light element, uncommon",FangKris of Blight
"Scythe, toxic element, uncommon",Null-Cutter of Flame
"Scythe, ice element, common",Rain-Cutter of Spark
"Gauntlet, void element, mythic",Terra-Talon
"Scythe, blood element, common",Plague of the Scythe of Storm
"Bow, poison element, common",MysticSlicer of Cloud
"Axe, toxic element, legendary",Mythic Wand
"Crossbow, void element, ancient",Glacier-Cutter of Blaze
"Crossbow, shadow element, legendary",Dark-Whisper of Volt
"Axe, poison element, epic",CorruptKris
"Sword, void element, ancient",Spell-Lance
"Mace, toxic element, common",Divine of the Shard
"Dagger, poison element, legendary",Aurora of the Claw
"Shield, void element, mythic",Stone-Fang of Stone
"Whip, poison element, epic",Ember-Edge
"Spear, storm element, epic",SacredSpire
"Axe, light element, mythic",Glacier of the Blade of Abyss
"Whip, water element, rare",Mythic Reaver of Grace
"Shield, shadow element, epic",Flame of the Whisper of Null
"Wand, water element, epic",Mythic Whisper
"Gauntlet, ice element, legendary",Night-Wand
"Mace, earth element",Null-Spire
"Scythe, shadow element, rare",BloodShard
"Whip, light element, ancient",Epic Blade of Glacier
"Whip, toxic element, legendary",Mythic Whisper of Volt
"Orb, lightning element, common",WhirlCutter
"Spear, blood element, rare",The Hammer of Blessed
"Spear, earth element, rare",SnowWhisper of Volt
"Dagger, holy element, epic",Sun-Scythe of Hemorrhage
"Bow, holy element, uncommon",SacredBreaker
"Orb, toxic element, common",BoltScythe
"Shield, water element, uncommon",Crimson of the Talon
"Axe, storm element",Dusk-Lance
"Hammer, toxic element, ancient",Epic Slicer of Cloud
"Axe, arcane element, uncommon",Storm-Talon
"Bow, wind element, common",Glacier-Glaive
"Sword, fire element, ancient",Luminous of the Edge
"Axe, shadow element, rare",Shock-Scythe of Snow
"Scythe, void element, common",Gale-Glaive
"Wand, shadow element, mythic",WaveEdge of Fang
"Spear, shadow element, mythic",The Wand of Decay
"Gauntlet, blood element, uncommon",Common Spire
"Whip, lightning element, mythic",Storm of the Whisper of Whirl
"Staff, toxic element, mythic",The Talon of Flame
"Spear, arcane element, ancient",Mythic Edge of Blackhole
"Orb, toxic element, common",Glacier of the Cutter of Blaze
"Gauntlet, wind element, uncommon",Epic Hammer
"Crossbow, arcane element, common",VoltFang of Corrupt
"Dagger, storm element, rare",Stone-Blade
"Mace, void element, mythic",Bolt-Maul
"Mace, arcane element, uncommon",Volt-Kris of Blight
"Sword, toxic element",Blaze-Maul
"Gauntlet, lightning element, common",Dusk-Glaive
